AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-514,73,28,206,528,-180
-506,85,-21,89,544,9
-522,56,-12,551,455,186
-512,86,-67,-191,878,-201
-525,108,-90,-242,1101,-276
-471,94,-239,-18,538,-587
-497,2,-183,169,480,-95
-492,53,-220,-99,453,-99
-480,33,-228,-86,269,-114
-479,41,-234,-70,43,235
-470,64,-253,129,-122,-21
-481,25,-218,123,-199,110
-467,68,-215,122,-547,-58
-508,44,-220,180,-1028,211
-506,54,-115,-357,-1199,537
-491,123,-40,123,-947,305
-493,112,10,43,-261,-118
-513,112,-14,159,419,-695
-519,10,-46,49,270,-580
-532,9,-53,107,-95,-567
-530,-20,-39,270,-605,-434
-538,-57,10,172,-993,-172
-649,33,39,814,-1703,-136
-922,43,-663,2551,3440,-2531
-605,139,-207,-651,5053,-1687
-364,-147,-103,111,3369,406
-501,-209,-145,489,2032,98
-272,-85,-49,690,351,660
-439,-128,-188,-59,-898,1317
-107,1,-402,-644,436,-612
81,-342,-539,-478,434,-429
37,-81,-520,-517,-5,-45
-170,-87,-468,109,-413,229
-362,-112,-480,924,-938,592
-449,-216,-303,1168,-901,728
-565,-208,-277,-576,-466,289
-488,-332,-321,-644,-975,-103
-250,45,-166,-1192,-2307,-86
-319,76,-117,-372,-3234,464
-587,164,-259,-2331,-3630,1705
-778,-38,-634,-681,-1782,1600
-504,30,3,-185,147,789
-455,153,94,103,351,297
-517,87,41,241,202,-44
-512,93,31,18,85,106
-510,106,44,84,-26,7
-512,99,42,65,-30,-39
-512,100,49,21,-15,-75
-510,96,53,84,0,-143
