AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-519,-67,-37,44,23,6
-522,-66,-33,67,104,-64
-491,-95,-49,-80,837,-614
-504,-112,-120,-182,992,-577
-487,-159,-159,18,459,-190
-476,-187,-178,-120,22,379
-491,-110,-161,-170,-442,1191
-511,-22,-139,-218,-299,1291
-498,46,-64,-325,-86,449
-507,70,-71,-41,413,56
-462,36,-162,213,964,-565
-550,-85,-171,-101,823,-398
-480,-5,-234,-152,939,115
-461,13,-291,-219,601,185
-437,-5,-310,156,-79,34
-462,-2,-286,242,-547,130
-464,40,-258,230,-760,161
-490,38,-229,-20,-1438,-43
-512,0,-67,-290,-1356,739
-483,125,-56,145,-868,235
-517,61,3,68,217,-642
-571,-10,-30,302,303,-838
-506,27,-81,475,821,-1287
-478,-97,-39,336,605,-1140
-470,-206,-140,56,706,-817
-494,-202,-163,42,808,-540
-444,-244,-213,6,161,-64
-447,-234,-216,27,-436,326
-455,-201,-151,515,-1324,716
-481,-177,-84,99,-1188,838
-546,-99,16,648,-1193,1053
-520,34,61,1076,-1207,539
-504,-33,154,398,-789,145
-455,-3,-40,376,-374,-221
-658,-119,-394,2094,2481,-2560
-696,-16,-225,-397,4341,-2991
-540,-158,-133,73,4404,-1304
-435,-203,-31,-702,2965,-475
-331,-259,-147,-422,326,-448
-290,-165,-269,-354,-458,-212
-122,-204,-403,-293,163,-397
-123,-339,-386,426,156,-127
-77,-265,-422,-505,-370,-8
-228,-238,-501,135,-689,516
-509,-351,-347,308,-458,643
-420,-200,-411,-128,-593,322
-302,-205,-266,574,-1317,673
-300,-154,-56,159,-2305,414
-409,-14,-62,-813,-3722,662
-638,144,-198,-1766,-3934,1689
-499,-241,-768,354,909,-311
-374,-8,-335,-1813,2078,-826
-506,-146,-136,-262,1374,-1007
-490,-179,-189,-103,1004,-687
-435,-216,-223,51,223,-152
-426,-215,-225,26,-174,186
-454,-190,-198,22,-481,447
-461,-165,-173,89,-568,453
-486,-138,-135,123,-693,488
-498,-123,-111,174,-868,508
-509,-90,-40,101,-851,600
-516,-51,8,-27,-672,541
-524,-28,46,-88,-489,384
-517,-12,59,35,-345,355
-522,-9,82,230,-570,577
-464,87,156,129,-142,236
