AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-432,-122,-237,93,143,-74
-446,-140,-254,8,1,145
-461,-133,-244,-31,-260,283
-456,-111,-237,85,-716,316
-780,-117,-164,492,-1585,1110
-920,-87,-736,300,-2909,354
-182,-71,-95,-836,1059,-977
105,49,15,-70,-162,169
-129,-138,-192,993,170,41
-311,224,-123,-2134,1667,-1619
-238,-264,-317,1011,892,-942
-442,-279,-252,437,-123,84
-453,-199,-232,126,-375,491
-473,-136,-187,93,-105,457
-473,-123,-188,-8,76,106
-464,-153,-193,-50,230,-108
-433,-155,-218,-133,293,-202
-463,-158,-248,-145,-42,-94
-504,-213,-229,24,-905,470
-1511,-8,386,1687,-3238,2732
-33,-116,-386,182,-514,1191
22,59,-58,215,949,-759
38,13,76,-375,147,117
-208,-288,-600,847,976,-637
-408,325,-101,-1177,2958,-2524
-604,-188,-242,358,686,-192
-423,-227,-256,-17,-22,36
-452,-155,-247,150,-450,262
-453,-142,-225,104,-362,257
-462,-125,-200,20,-145,230
-469,-118,-214,-80,-94,189
-489,-116,-193,24,-347,242
-491,-89,-172,-80,-497,234
-503,-73,-130,-25,-852,402
