AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-513,-127,-54,-72,-337,-56
-613,-54,11,-210,-791,227
-707,133,-123,-688,-2249,1390
-194,-28,-710,-6003,3298,1738
-3,-283,183,747,1649,580
-470,-1234,-813,-1378,1020,-1376
-265,-315,-226,-856,965,-701
-705,-137,-167,145,252,-144
-901,-172,-25,527,-1533,1396
-131,-724,-267,2833,-1940,-27
-164,84,-32,4162,-2570,-172
-296,24,-380,-585,691,-909
-150,-220,-149,-1652,1106,-2201
-546,-147,-27,687,294,-581
-517,-178,-25,-90,130,-480
-499,-144,-32,27,52,-126
-495,-148,0,290,-318,173
-504,-209,-9,93,-510,253
-1085,274,105,-1229,-2197,854
-526,349,-863,-4854,2272,1176
6,-455,367,1614,1032,1144
-640,-1062,479,-3820,1088,-1232
-685,-211,-365,720,78,111
-1152,-975,267,3020,-1733,1363
8,-185,349,4963,-2175,-2006
-199,383,-259,-1222,-2427,654
-1740,1311,435,-320,1270,-853
-241,-184,5,-633,429,-819
-407,-255,52,-140,123,-217
-498,-230,43,-130,37,161
-471,-219,64,49,-278,268
-483,-187,70,-4,-283,193
-480,-186,88,-71,-269,149
-477,-181,95,-1,-277,359
