AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-484,-178,-95,349,-207,26
-516,-160,-113,-83,-211,-63
-548,-190,-83,-80,-911,257
-1189,-389,645,1033,-3734,2713
270,-55,-583,-2535,-516,687
-84,-39,317,112,685,-540
53,156,95,1424,-31,210
-262,-28,-88,-563,1001,27
-1014,327,47,-234,3292,-2887
-198,-317,-263,-367,813,591
-504,-46,-181,252,-53,-179
-497,-131,-113,18,-192,-235
-499,-142,-111,-185,101,87
-502,-86,-128,-38,97,93
-471,-116,-145,117,46,-10
-504,-80,-172,271,-20,-326
-512,-118,-147,-194,-145,-515
-576,-178,-109,-27,-1350,300
-1260,-128,386,365,-2723,1238
155,-196,-392,-2200,2228,-362
-214,-6,262,-276,964,-84
-86,7,110,811,-929,382
-184,-77,3,-515,370,-914
-2356,-199,1518,29,-325,1930
-494,-291,-86,-308,1719,81
-497,-130,-187,407,135,-121
-471,-126,-239,211,-244,-295
-463,-178,-169,118,-255,452
-488,-115,-157,-152,-148,-116
-500,-118,-166,-120,-282,-139
-500,-152,-133,-66,-687,28
