AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-519,-52,-2,54,224,-121
-509,-53,-1,96,630,-313
-504,-78,-82,-33,989,-531
-501,-118,-135,33,770,-619
-490,-164,-162,91,420,-397
-474,-172,-183,75,116,-296
-479,-185,-145,163,-445,167
-470,-200,-156,112,-522,575
-511,-89,-45,-115,-595,405
-503,-95,-53,-283,-528,447
-509,-52,-5,78,570,-141
-510,-57,-48,114,1285,-676
-508,-174,-178,469,1394,-754
-463,-196,-232,618,616,-531
-430,-239,-217,259,-327,-240
-426,-254,-184,125,-748,163
-479,-209,-131,21,-1240,176
-788,-118,100,721,-1175,-157
-328,-74,-163,-114,31,-107
-211,149,212,-1228,-432,2005
-470,-208,79,-797,-1649,2349
-467,-334,-233,-618,-530,521
-273,-2,-199,-697,1739,-1108
-569,-137,-90,-626,1184,-867
-501,-144,-129,72,268,9
-527,-120,-138,327,-207,278
-474,-114,-111,369,-663,439
-513,-94,-3,-3,-579,534
-497,-40,-24,-493,-180,668
-532,-32,-5,-88,-338,703
-605,163,126,376,147,256
-531,80,-26,-83,301,-233
-529,-24,-16,-84,-171,-366
-524,-10,15,18,-342,-111
-521,-24,42,26,-475,-37
-519,-31,61,-44,-406,140
-537,-33,63,166,-639,374
-564,-92,65,505,-1664,905
-512,-18,291,3077,-545,-108
-528,-96,-75,-190,1942,-2112
-359,47,123,832,1526,-2240
-312,35,107,1028,654,-1419
-1650,60,82,-799,-3,9
-546,-154,-98,-470,692,231
-489,-166,-148,-293,283,-214
-475,-178,-136,-42,13,156
-487,-134,-136,-111,-11,246
-482,-138,-128,-32,-17,306
-491,-113,-145,-12,-337,513
-525,-102,-109,11,-554,757
-495,-40,-82,194,-344,505
-565,55,-31,-103,192,-178
-518,-41,-78,219,433,-256
-520,-46,-96,-25,-81,-203
-517,-46,-80,208,-379,-20
-528,-50,-62,-86,-502,21
-527,-58,-21,20,-786,346
-533,-5,34,-82,-814,574
-715,-231,141,1931,-2001,919
-602,-142,-273,-1868,477,-478
-406,37,164,583,1337,-2032
-365,116,199,43,969,-1107
-1167,294,441,126,731,192
-534,-85,-92,-675,1030,-47
-489,-127,-192,-99,782,-275
-450,-176,-189,35,312,-218
-462,-172,-201,26,-202,23
-470,-172,-187,43,-494,258
-491,-137,-134,96,-695,529
-490,-113,-116,143,-857,651
-509,-77,-43,45,-1225,859
-535,-44,31,128,-1162,1031
-512,24,145,250,-396,200
-539,-12,52,-216,425,-446
-536,25,35,-285,-206,271
-528,-12,76,153,-584,609
-509,53,113,109,-483,603
-457,160,143,-141,223,-165
-506,79,112,63,10,-5
-499,75,121,34,114,-140
-507,62,111,109,36,-130
