AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-479,-161,-157,163,-259,25
-483,-177,-140,157,-403,104
-716,-283,4,231,-287,822
-445,-423,-96,297,-19,-239
-255,-124,200,2430,-2122,-763
-341,63,-58,922,-2085,613
-1415,488,-78,-561,1930,-1192
-713,-234,3,-468,1175,-1284
-491,-185,21,-366,531,-234
-492,-160,9,-142,494,-79
-486,-177,-30,-320,605,171
-494,-164,-67,-402,551,324
-510,-126,-114,-266,160,576
-490,-77,-93,-36,118,418
-492,-65,-101,-343,722,-85
-484,-61,-171,-161,794,-364
-488,-135,-199,103,288,-259
-480,-122,-198,82,69,-62
-504,-123,-180,-194,28,397
-818,-158,-65,1027,-376,859
-428,-352,51,593,-1002,-519
-347,-116,156,363,-2218,-1136
-414,-13,-103,701,-2115,199
-485,31,-257,1514,-684,612
-570,-373,-168,-1583,1455,-764
-536,-143,6,-733,996,-502
-475,-218,-12,-358,579,-71
-494,-189,-32,-436,718,72
-490,-157,-89,-331,583,280
-488,-159,-114,-405,501,491
-508,-97,-138,-157,-5,347
-483,-114,-107,52,3,189
-494,-79,-148,-117,615,-131
-487,-98,-181,58,473,-185
-472,-98,-205,73,288,-117
-474,-119,-208,3,-41,-211
-475,-133,-182,4,-191,146
-547,-153,-146,-193,8,517
-540,-295,-106,848,330,-220
-443,-248,172,-70,-854,-1025
-392,-48,57,704,-2355,-492
-448,-6,-45,497,-2159,273
-600,-123,-344,-569,1169,-4
-345,-381,19,-1753,1334,-514
-518,-161,-35,-502,981,-196
-481,-201,-69,-191,577,62
-476,-190,-102,-116,376,202
-480,-170,-109,-109,273,181
-495,-161,-144,-1,-180,74
-500,-142,-145,270,-672,-116
-513,-172,-56,871,-1587,18
-938,116,37,2224,-2069,416
-387,52,-269,142,3437,677
-407,-141,250,-1920,2510,2120
-1001,-537,-187,-1122,-1578,-1768
-393,-320,-193,-52,188,-376
-495,-57,-230,197,42,545
-510,-13,-186,235,-421,289
-490,-29,-145,295,-651,-99
-497,-31,-86,60,-132,-410
-493,-92,-116,179,66,-822
-487,-121,-124,327,-122,-767
-497,-177,-119,289,-476,-730
-479,-238,-82,463,-724,-243
-514,-170,1,457,-1331,-37
-690,-9,47,71,-1652,573
-679,92,-372,-1742,2099,1087
-490,-11,87,979,2882,1215
-297,-303,443,-786,572,263
-1009,26,551,857,479,-1388
-505,-129,-162,-88,428,7
-485,-75,-193,51,39,194
-490,-87,-175,-16,-321,289
-514,-17,-169,358,-736,242
-499,-38,-91,-26,-586,-116
-499,-69,-53,145,-172,-127
-515,-59,-87,47,373,-771
-477,-115,-106,251,61,-1028
-487,-208,-90,339,-299,-827
-465,-244,-62,279,-316,-485
-479,-237,-34,429,-584,52
-498,-216,-24,556,-1239,229
-751,61,92,1557,-1710,923
-668,246,-270,-2834,1900,967
-465,-130,232,109,1813,1168
-398,-213,155,-901,1109,828
-550,33,-46,-1279,1038,-1010
-495,-87,-181,-320,617,-258
-485,-97,-193,9,125,-56
-484,-102,-187,-2,0,77
-494,-82,-183,14,-144,205
-493,-75,-166,18,-106,226
-503,-60,-171,31,-130,136
-503,-68,-170,137,-548,233
