AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-388,-80,-44,-370,1406,-733
-142,-141,-70,-435,720,-111
-158,-177,-124,-28,-769,340
-370,-125,-191,44,-1005,727
-1184,-176,-535,-1149,-1145,908
-735,-82,11,-1545,3528,-1951
-764,15,-58,-52,-1206,798
-341,-56,38,4081,792,-1305
-262,-18,69,1525,1938,-1808
86,-100,-73,-2218,-676,196
-638,-180,-242,-1104,-2138,737
-407,-67,-488,-223,-6,956
-447,-42,-288,-120,1150,-319
-828,-42,22,551,-1410,725
-519,106,-489,78,1743,-1769
-220,-74,91,770,1526,-1719
-20,-208,-287,-496,-1262,1108
-676,-140,-189,-3,-2330,1672
-340,346,268,-2086,-320,1145
-264,79,-90,821,1940,-1162
-698,-42,-34,-533,-1276,152
-390,136,47,1478,-156,-296
-417,-18,-68,-1296,2018,-2125
-158,-72,-49,309,-185,-192
