AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-471,-161,-162,46,49,-53
-449,-161,-179,115,1,-123
-497,-179,-152,306,-254,269
-456,-137,-141,108,-96,180
-495,-185,-173,-276,70,-336
-1066,-305,9,798,-2614,2029
-602,-259,-414,1288,-1194,746
60,-26,-33,-517,423,-33
-11,46,68,1017,242,-363
-118,-81,-76,696,415,218
-1611,531,751,-83,1823,-236
-241,-325,-209,504,768,-203
-636,-50,-184,29,474,-99
-465,-168,-236,350,-500,15
-457,-179,-182,85,-556,246
-483,-124,-144,-95,-229,379
-456,-167,-176,-52,-414,218
-589,-118,-159,241,-937,598
-1984,-145,800,1145,-3449,2187
-135,-108,-131,-2184,2041,-1599
-2,34,196,-158,791,-561
-96,-63,-46,1235,-152,360
-1690,223,-80,-1475,3953,-940
-420,-448,-224,1150,1303,-587
-489,-156,-219,-29,849,-164
-422,-213,-247,215,-115,-5
-440,-226,-217,218,-546,287
-462,-191,-181,64,-605,455
-497,-147,-143,-14,-391,369
-466,-149,-121,26,-191,65
-524,-150,-183,-391,-75,-191
-414,-159,-139,85,-489,431
-535,-153,-67,183,-739,697
-507,-86,-46,20,-587,421
-521,-69,-25,-101,-522,319
