AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-469,-182,-164,35,31,53
-479,-203,-194,52,-25,401
-497,-181,-181,389,-570,672
-756,-182,-126,1257,-2063,1820
-1285,-73,93,4016,-3057,3604
-216,329,-700,9030,1177,-2891
-110,278,-235,5186,450,-3468
-213,90,-399,6675,885,-1663
-1582,198,675,-292,760,-697
-405,-165,-182,-687,1298,1115
-606,-14,-160,239,311,900
-488,-43,-156,179,10,66
-511,-25,-154,51,6,-348
-489,-112,-156,-83,-60,-459
-480,-78,-149,111,-229,-272
-782,-130,-102,-298,-2136,-804
-1285,219,-151,-4313,-3077,425
22,-89,-335,-8003,-10,762
-86,244,14,-2630,-2755,1006
-285,28,-927,-7450,-224,193
-2592,189,-13,-2825,2496,557
-462,-101,-216,-417,776,-835
-596,-58,-141,417,309,-1046
-445,-225,-123,209,-87,-556
-433,-266,-121,221,-38,122
-460,-221,-132,-159,-10,150
-456,-206,-126,-107,-38,203
-471,-197,-133,-51,-238,235
-483,-182,-108,-73,-194,339
-491,-161,-105,72,-248,336
-494,-144,-107,48,-392,366
-523,-125,-55,289,-1191,555
-487,-90,8,-478,-1065,777
-503,-67,80,302,-740,817
