AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-174,-252,344,-1100,-54,-1347
-229,-105,58,2956,-2101,-1702
-429,-257,-69,1412,-3006,-2466
-806,170,-455,-2248,-2026,-2407
-880,273,-368,-2880,-1254,52
-807,3,417,284,-487,1010
-528,134,-22,308,227,180
-511,119,-21,437,-262,342
-507,135,-9,382,-343,197
-487,131,30,-178,202,-57
-511,133,-16,-134,236,-163
-513,123,12,-110,-354,202
-484,157,45,-282,-92,-10
-514,161,34,176,384,-714
-824,383,170,1437,1432,-1708
-887,334,-456,1478,1116,1709
-609,115,-439,1112,2491,3724
-564,-373,-168,-1749,3148,3162
-292,-525,150,-2406,1551,-306
-255,222,-34,632,-1076,-2137
-431,420,-382,1780,-1076,-994
-269,-24,-79,1640,-439,15
-291,-152,20,1865,-2010,-1535
