AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-488,-167,-106,74,27,-9
-493,-168,-100,63,31,0
-484,-166,-109,138,-13,-47
-488,-164,-101,47,40,-60
-485,-188,-113,152,-229,64
-663,-90,-126,522,-1053,235
-122,156,-290,402,103,-195
57,279,211,-3231,-1850,2809
-1517,-518,-16,-2338,2321,-1359
-1029,-221,138,-476,826,-582
-915,-231,125,1465,-2939,1824
-255,-26,-885,-1798,1855,-658
-231,168,31,2720,3881,-1980
-1531,-253,-170,-2091,822,721
-374,-273,-359,10,-818,524
-1009,-180,-106,740,-2440,1294
197,418,454,50,-2508,1658
-398,-185,-443,-1915,-1810,1885
-1710,19,1107,-572,201,-746
-823,-268,42,400,-490,1204
-280,-307,-303,-368,548,-1909
-66,248,14,3223,630,-1756
-1177,330,373,893,2835,-1038
-488,-171,-193,-193,1100,-601
