AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-724,65,-277,-25,122,-1252
-904,-4,-233,547,1079,-46
-913,-366,-332,-2347,-1161,2489
-344,-304,-464,-1092,-1426,1797
504,-234,96,-716,-486,1348
257,-192,115,-48,615,654
-333,-479,-321,2614,2618,-2656
-666,-355,-578,2972,2120,-3052
-663,3,-494,-1014,-557,484
-668,489,143,1205,515,876
-434,-218,-702,1390,329,448
-719,-49,-252,-1264,-1818,747
-42,159,-18,1774,-93,1808
-121,190,5,979,-214,1205
-246,-608,-373,1442,1509,261
-357,-197,-636,-1015,-948,483
-380,29,-198,-1660,-963,-131
-505,1256,303,2314,-460,802
-647,1059,-187,-2176,1506,-3637
-615,53,-251,-224,-78,-2432
-4,-367,-233,-214,-1334,1087
-60,-248,-280,-1250,-330,478
-432,-168,-223,917,-610,611
-533,-43,-112,-278,-261,317
-511,-40,-126,-566,-148,-10
