AccX,AccY,AccZ,GyroX,GyroY,GyroZ
96,-500,-22,20,15,-14
90,-521,-34,31,-58,2
224,-462,-25,-412,275,-655
178,-473,-61,-1305,706,-1190
324,-288,46,114,460,365
223,-717,-135,690,241,1389
153,-889,67,-664,-882,2340
-1062,-595,-50,-1594,-336,3394
-551,-182,-574,-2066,2415,-1253
-179,-139,-47,69,1798,2980
374,-959,-2,-3928,-1278,2478
984,-1684,-1831,-2283,5168,-2849
-313,-518,-629,-173,933,-1211
-149,-233,-469,451,-1389,-372
-285,-247,-350,183,-467,629
-326,-412,-389,747,-929,1324
-758,66,-373,-1533,-2551,3090
-183,-51,-405,-563,-16,-93
174,58,80,-13,-91,68
-21,-92,-28,-601,-212,566
-141,-395,-361,3475,1456,-1303
-3861,-261,-1563,-677,11293,-1322
-768,-322,-658,-1854,1094,-985
-208,-377,-315,1041,40,189
-319,-389,-324,78,-432,767
-293,-215,-343,-689,-485,805
-359,-184,-320,-698,-769,1186
-415,-101,-287,-726,-790,1068
-413,-15,-235,-180,-532,579
-478,27,-239,-403,-233,200
-462,10,-231,-154,-261,569
-466,68,-219,-207,-28,335
-471,86,-211,-30,-174,334
-472,130,-202,64,97,-114
-479,82,-212,203,-46,147
-477,78,-207,69,26,-46
-482,77,-197,85,34,38
-472,80,-217,71,40,25
-471,81,-214,-30,66,-83
-474,72,-219,4,23,-57
