AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-418,-245,-193,43,-120,361
-421,-224,-189,-102,-46,370
-456,-179,-189,-173,-33,151
-439,-199,-169,-12,137,95
-449,-159,-197,-235,376,-24
-428,-184,-238,-134,328,-105
-434,-218,-261,-346,342,-99
-403,-191,-304,-191,88,192
-433,-225,-301,-175,-336,803
-610,-244,-422,695,-955,2435
-237,-191,-260,1087,51,-1363
-353,-142,-201,1006,1198,-3382
69,-95,-119,-81,535,-706
-32,-73,-44,-782,-575,1561
-229,-385,-221,-2487,-548,-73
-1097,887,-399,764,1606,619
-336,-275,-537,1563,-941,3114
-602,54,109,1486,-882,442
-392,11,-174,2612,934,-2071
-84,36,-72,-495,171,-1463
-167,-180,-158,-1289,-614,2267
-499,-158,-391,-2232,-961,1794
-609,276,186,-1498,576,398
357,-503,-15,-583,1280,606
-1107,-191,-265,-387,-2514,1299
-173,-134,-372,2507,341,-806
-524,-18,-141,2691,742,-1852
56,-169,-53,-2429,514,-1019
-59,-114,-91,-47,-1177,2318
-501,-141,-442,-3896,-790,1285
-2082,1641,-13,-2006,2418,-1870
-351,-120,-495,4674,-99,1660
-436,-222,-276,1488,175,-445
-354,-46,-332,26,828,-1011
-342,-220,-340,500,787,65
-321,-289,-411,905,-270,162
-318,-230,-334,297,-285,-84
-342,-288,-294,271,-495,36
-362,-255,-290,-100,-253,535
