AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-402,-260,-234,94,73,-65
-413,-273,-241,165,60,-11
-393,-283,-242,-146,-105,52
-405,-261,-236,-23,-65,273
-429,-256,-223,-392,-51,213
-447,-170,-241,167,-249,473
-602,-249,-344,522,-1132,1608
-262,-110,-153,-1203,-724,2347
-77,-136,-193,-1067,153,-844
-20,-6,16,867,178,-48
-210,-1375,-634,6139,2305,-1827
-411,-467,-45,871,213,-2019
-318,-606,-46,1508,884,-940
-572,-351,-399,-314,543,-530
-371,-261,-247,84,150,-225
-369,-318,-232,-25,-127,230
-374,-292,-218,10,-146,257
-372,-272,-215,-192,-22,304
-378,-258,-212,-223,47,249
-433,-238,-303,54,-408,203
-445,-391,-269,-68,-971,956
-986,184,-58,-1790,-1653,3219
-100,-323,-387,-211,-580,480
-50,-132,17,795,364,-535
3,100,-26,1035,333,-119
-806,859,-248,1328,530,-1916
300,-520,-179,-1764,2116,-2664
-371,-320,-290,597,205,-809
-313,-386,-161,289,441,-272
-296,-369,-205,-38,25,289
-337,-344,-228,-234,-68,529
-380,-281,-272,-499,-274,627
-370,-259,-258,-370,-291,705
