AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-470,136,-159,-55,211,-280
-486,83,-175,278,515,-586
-452,40,-227,582,656,-942
-451,-63,-236,586,716,-969
-440,-125,-308,239,675,-750
-408,-136,-332,369,410,-492
-403,-163,-353,76,-107,9
-401,-172,-330,-55,-437,327
-421,-176,-262,-384,-818,1161
-469,-130,-252,-869,-1227,1828
-538,122,-173,-1573,-1719,3600
-150,-228,-540,134,711,-1882
-551,80,-210,3073,1260,-1767
-590,185,-66,-395,1117,-2684
-512,205,-133,205,-113,1037
-861,141,-225,275,27,924
-468,-41,-220,945,117,508
-456,9,-294,-274,370,-313
-438,12,-284,-120,392,-342
-444,14,-296,82,317,-432
-386,-47,-280,478,493,-979
-359,-73,-285,676,796,-1562
-328,-198,-359,1170,841,-1588
-240,-278,-395,1871,946,-1624
-175,-394,-214,1460,460,-2324
64,-458,-154,1513,277,-1453
55,-512,-189,559,-21,-702
140,-535,-73,68,-285,-106
48,-530,-114,67,-256,808
20,-475,-177,-499,-87,766
-69,-485,-212,-649,-240,1055
-94,-483,-197,-795,-325,1445
-267,-377,-267,-1182,-475,2055
-221,-326,-240,-446,-263,2899
-359,-183,-302,-305,-202,1531
-420,-78,-278,-648,-205,1162
-431,21,-302,-1316,-290,835
-447,3,-281,-521,-226,838
-428,160,-256,-426,135,-217
-454,50,-292,-180,20,-150
-449,76,-276,73,-98,63
-442,75,-256,102,18,-96
-443,72,-269,268,-99,131
-447,103,-253,110,-40,-106
-454,82,-263,74,-128,-35
-452,84,-235,75,-59,-94
-454,54,-244,154,-4,-84
-463,32,-247,30,-13,-7
-464,54,-243,39,-25,98
-466,47,-247,19,-17,82
-461,65,-236,-45,-40,126
-466,74,-230,27,-5,94
-463,69,-235,33,43,60
