AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-402,-244,-246,300,-175,-47
-400,-284,-234,359,-292,156
-631,-208,-295,612,-511,157
-685,-51,-244,320,-818,-276
-146,68,94,-1727,-252,528
-414,-48,-32,-2045,-113,2479
-373,-165,-210,-1124,-397,1691
-935,75,125,287,-1510,-1192
-539,-182,-291,-194,437,-789
-461,-140,-270,23,366,83
-502,-131,-281,467,92,428
-525,-123,-253,-202,220,554
-452,-80,-248,246,-29,814
-523,2,-242,143,-117,-142
-481,-60,-247,-216,54,-350
-415,-86,-243,-167,-368,-235
-520,-124,-223,0,-508,744
-552,-42,-211,-97,-747,1249
-555,-12,-124,360,-1221,2159
-484,-160,-347,408,328,-1389
-398,125,-40,896,565,-2105
-439,31,14,540,226,-1150
-293,202,-203,-228,288,-238
-578,-88,-304,2003,1516,-1426
-443,-210,-312,-18,106,-930
-412,-226,-240,-263,158,-388
-394,-247,-243,-409,26,98
-437,-245,-256,-578,-163,290
-417,-106,-247,-487,22,99
-423,-131,-263,377,76,-91
-398,-171,-246,684,280,-694
-360,-242,-272,903,353,-992
-383,-359,-279,841,60,-510
-331,-379,-215,330,-139,44
-355,-345,-207,-20,-327,604
-396,-310,-235,91,-551,934
-836,-36,-252,436,-500,17
-281,-198,-114,-307,-227,-230
-191,-21,3,-1121,112,1287
-451,-230,-4,-1790,-566,1121
-469,-185,-262,-3222,-491,343
