AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-442,80,-298,217,3,-28
-439,55,-291,204,-76,-39
-432,71,-276,-7,-18,-85
-425,76,-262,36,-26,-68
-474,56,-267,257,-9,-15
-786,292,-241,1655,-163,-340
-1037,679,-254,2663,434,-1474
-179,-612,-306,1637,-104,-486
451,11,159,-1898,1029,-1187
172,-52,59,-1297,-1995,1104
-667,-271,-238,-4298,-1326,-227
-2661,811,-437,-1083,-2205,-2380
-1407,239,-756,-1115,913,1805
-932,-133,-801,2594,2629,-4747
-435,-42,-289,1065,460,-1056
646,-103,398,-615,-1128,2996
524,-810,-133,987,896,-789
-557,-394,-323,-1123,-1517,-1200
-407,-230,-1069,1105,2457,-289
-74,-582,-229,2432,126,470
-1849,94,-1066,-1638,1566,-1559
