AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-435,88,-311,321,75,-95
-425,183,-297,-186,438,-1225
-355,-186,-253,729,143,-521
-569,-182,-491,102,-676,646
-831,761,-71,1709,-428,567
-755,-345,-721,-942,1765,-4274
359,-221,-554,-935,-1394,-192
-115,95,-111,-3934,-2107,-40
-285,-280,-131,-940,471,421
-312,-103,-42,80,72,212
-112,-164,-167,656,806,-447
-67,-230,-158,1594,1741,-872
-139,-337,-383,2818,1535,816
-414,3,-560,968,-1257,3466
-713,228,-389,-1025,344,125
-2155,798,-619,2742,-4137,-4023
-626,-180,-475,468,550,-445
-365,-69,-332,204,198,206
-338,-131,-354,206,-53,190
-361,-153,-346,-167,-225,80
-391,-146,-309,-271,-187,613
-539,-61,-433,-421,-743,925
-574,507,-54,1024,-656,-1
-364,-106,-264,-371,-66,-3316
101,-239,-219,-1211,-689,-709
-366,-238,-385,-815,-799,768
