AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-52,-331,-123,-662,2303,-2758
-112,-179,11,867,969,-583
-68,-393,-222,-172,-373,1156
-150,-303,-224,-500,-1149,1462
-149,-179,-209,-1731,-1547,1582
-242,-253,-212,-2109,-1961,4125
4,-201,-623,-2955,-764,1551
-940,869,-70,3028,1314,-719
-914,-145,-797,166,-890,3211
-565,-135,-90,924,-2402,2664
-1174,-295,-1009,4333,4934,-8286
-726,634,-156,4291,4873,-7864
113,138,-164,-6443,-2131,4169
-904,-12,-426,-1765,-3420,9359
84,-862,-436,3364,-598,2981
-1261,-316,-266,209,2904,-1903
-609,1,-800,-258,-1888,1259
-1084,-125,-194,-520,-2121,2355
-1152,-266,-1039,4570,4527,-7970
-961,835,-112,3178,4615,-8184
-359,67,-366,-4466,-2912,6312
-93,-1562,-1054,1884,-1882,4429
-285,-575,-287,587,1869,-1874
