AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-502,137,46,45,34,-4
-501,138,48,43,35,-2
-502,136,48,53,38,5
-502,136,46,37,31,1
-501,137,46,49,27,-6
-500,127,46,44,58,-6
-510,117,54,480,-26,168
-503,131,38,65,-111,-53
-496,140,45,-41,-65,-119
-509,124,44,-7,-174,-372
-515,77,51,-35,-286,-364
-521,57,89,-5,-483,-562
-508,80,112,324,-535,-1169
-508,-67,103,654,-208,-559
-492,-22,96,112,-297,-199
-461,-95,214,-288,-99,26
-482,-4,186,-76,189,-143
-495,-63,152,-252,230,221
-491,-44,139,-86,387,346
-531,-2,153,351,411,624
-509,15,100,-205,702,738
-522,95,45,336,104,471
-507,100,51,78,269,217
-524,79,36,95,49,267
-522,72,43,171,72,530
-502,123,89,234,89,-80
-515,109,35,11,92,-53
-492,145,59,-95,335,-92
-540,95,33,157,321,-201
-627,-365,246,1228,260,-980
-519,-101,273,1747,-908,-1212
-503,13,114,-946,-1237,-382
-518,72,2,-596,-1115,-127
-472,-59,-263,-1605,19,-217
-573,451,4,-21,200,933
-553,-61,16,195,303,559
-519,3,49,-19,135,329
-534,-3,49,-65,-29,21
-523,-9,43,109,-151,-194
-528,-13,70,145,-259,-429
-605,41,119,334,-458,-623
-523,57,91,720,-595,-512
-420,35,-406,2817,-191,80
-535,131,-23,-432,1884,503
-554,-20,126,-2145,1635,1382
-570,-241,257,-706,-428,1695
-514,472,62,486,-155,496
-507,133,102,178,-214,319
-489,153,56,-27,-21,43
-505,131,46,-68,103,-24
-500,142,53,41,61,-7
-504,137,47,14,60,14
-503,141,44,11,5,30
