AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-443,-27,-280,242,5,-190
-442,-62,-281,148,236,-207
-440,-96,-269,147,282,-110
-438,-144,-458,94,-186,85
-486,-316,-298,119,-1109,2208
-682,-817,-890,2215,-1350,2898
-330,-93,-606,5753,759,-2598
76,356,24,53,769,-2652
-212,349,-29,908,-871,-2261
-1377,-394,-510,1171,1484,-5004
268,-390,243,677,-214,-2031
-123,-579,-114,555,47,-111
164,-512,-149,-667,-378,165
3,-475,-189,-1022,-590,992
-289,-539,-130,-415,-1047,2077
-1365,-245,-329,-2441,-1336,2068
-136,-23,-312,-1507,-580,1510
-261,7,-227,-3829,-804,1766
-227,62,-74,-1131,-739,2668
-497,-2273,-1299,2636,4642,-6360
-921,-422,-297,-5358,-7084,-400
-599,-115,-297,1100,-1515,108
-541,-26,-225,-384,728,72
-511,18,-215,-829,272,939
-457,130,-238,-23,-307,781
-590,228,-247,-1336,360,-557
-369,113,-64,32,197,-259
-434,47,-140,-105,298,-179
