AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-459,111,-216,113,-42,-69
-461,136,-204,180,35,-194
-505,108,-191,767,287,-795
-615,104,-224,1611,350,-758
-474,73,-31,454,-222,297
-570,28,-31,-420,-1064,961
-482,3,-132,-652,-1358,1095
-403,40,-159,-127,-921,963
-335,-18,-178,1347,444,-8
-634,-2,-140,142,906,-1913
-383,51,-308,-20,1097,-2028
-372,-176,-273,484,801,-980
-357,-196,-314,-37,902,-461
-375,-190,-366,21,759,-315
-365,-183,-405,167,-51,-130
-330,-196,-365,116,-336,82
-389,-211,-334,63,-662,458
-368,-160,-292,-203,-791,743
-421,-101,-269,-758,-933,1038
-471,-44,-198,-565,-1307,1386
-871,272,-195,-881,-2173,2835
-339,-494,-634,-91,-382,1020
-476,26,-126,-116,2319,-2103
-558,36,-183,-723,2662,-2644
-630,175,69,-863,784,-1070
-683,-20,118,-481,-444,909
-377,-69,-312,-367,146,-240
-454,14,-268,528,-257,635
-434,-14,-295,506,-36,18
-452,16,-301,-194,149,-345
-459,50,-260,548,21,323
-633,-178,-306,1402,36,18
-685,-237,-8,3113,-805,239
-475,-38,-36,617,-1245,-135
-380,27,-137,798,-1538,1855
-507,-79,-215,934,-1041,2102
-541,-1028,-577,3263,2036,-2274
-511,-236,-460,3250,3140,-377
-432,-219,-342,-694,1366,-1696
-394,-190,-340,532,1037,-918
-310,-289,-390,205,313,-455
-337,-290,-399,-130,78,-291
-283,-265,-349,79,-325,290
-316,-267,-334,-123,-395,547
-332,-196,-339,-274,-539,777
-395,-211,-342,-299,-818,663
-415,-180,-270,-271,-1280,1018
-487,-112,-261,61,-1511,1386
-743,230,-245,-931,-1935,1935
-212,-259,-588,-805,-43,84
-415,-114,-344,-959,2828,-1930
-514,132,-87,-2734,2455,-1140
-913,-510,25,-1469,176,106
-494,228,-428,-1239,715,-714
-461,168,-285,-369,84,-566
-435,9,-300,629,-117,99
-461,20,-297,227,-156,-49
-545,-88,-304,987,-172,-162
-506,-635,-278,2662,158,-1419
-328,-278,-203,826,210,-2254
-362,-129,-237,645,-215,-1081
-387,-146,-242,337,-151,-680
-289,-192,-193,136,151,-453
-784,58,-420,-411,136,-829
-376,-448,-328,676,602,-1434
-185,-481,-266,136,440,-1373
-83,-482,-211,346,233,-567
-55,-500,-182,45,50,-335
1,-508,-126,-131,-137,580
-102,-494,-166,-436,-305,865
-186,-485,-235,-416,-670,1473
-569,-421,-348,-691,-602,1641
-230,-489,-166,435,-576,1604
-326,-121,-328,565,85,-549
-269,-112,-135,-943,885,567
-277,-156,-138,-1198,320,2347
-454,-490,-337,-2810,-1242,1741
-375,-558,-537,-836,-302,1470
-543,-145,-257,-696,119,-406
-471,44,-304,365,-263,688
-444,126,-272,-153,182,-216
-438,63,-284,84,108,-56
-440,71,-288,-28,37,107
