AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-425,151,-261,324,45,-221
-439,69,-267,189,91,-310
-448,64,-274,158,48,-209
-454,21,-270,303,141,-146
-420,120,-314,480,241,-353
-420,-19,-292,342,164,-841
-412,-21,-304,533,213,-1218
-419,-106,-322,998,-13,-1255
-357,-249,-278,854,-68,-1252
-347,-283,-243,1114,-263,-735
-344,-362,-180,1208,-825,-134
-328,-341,-132,940,-964,215
-380,-320,28,729,-794,795
-419,-310,18,472,-877,634
-415,-273,160,-192,-197,219
-456,-285,101,-62,-17,477
-483,-244,64,17,398,483
-417,-209,26,-796,884,172
-445,-287,-70,-1285,1047,-34
-454,-190,-127,-1129,1295,222
-457,-136,-250,-621,737,941
-435,-158,-292,-609,430,833
-444,-125,-267,-470,105,1294
-421,44,-288,-722,107,571
-402,112,-299,-636,34,106
-448,37,-276,-336,-19,14
-445,120,-247,425,-43,21
-462,-24,-283,456,-103,-136
-445,30,-259,334,-31,-116
-432,65,-285,49,49,-420
-451,36,-275,138,48,-881
-477,14,-251,538,-70,-1015
-404,-160,-278,994,-236,-1243
-432,-265,-205,1001,-561,-1029
-477,-364,-190,1818,-1072,415
-457,-276,-68,1209,-1370,506
-439,-226,57,523,-1164,679
-475,-177,143,382,-896,613
-458,-143,148,50,-490,331
-485,-168,160,54,-167,216
-468,-109,203,22,173,64
-473,-70,156,28,365,60
-487,-155,153,38,812,-79
-467,-69,89,-609,1341,-296
-481,-247,-67,-1673,1584,-499
-475,-230,-122,-1145,1185,431
-439,8,-309,-407,728,641
-470,-192,-277,-483,325,827
-491,-100,-235,-248,193,956
-470,-11,-258,-314,122,875
-457,100,-265,-165,43,578
-406,124,-247,73,50,172
-445,111,-260,235,252,-221
-432,44,-267,320,187,-231
-445,10,-286,102,51,17
-449,60,-281,209,96,-139
-439,-3,-276,147,96,-303
-478,2,-278,118,3,-382
-374,-54,-231,92,-67,-324
-459,-38,-314,281,-93,-346
-509,-43,-292,303,-189,17
-465,-9,-284,-469,-95,-284
-481,-80,-273,235,521,59
-426,-46,-291,304,248,84
-429,-60,-303,7,2,89
-439,-36,-292,-104,-79,80
-450,-38,-268,-161,-118,68
-439,-33,-257,-200,30,25
-462,-43,-276,-250,222,220
-442,5,-297,-148,-12,386
-442,22,-269,-355,-115,534
-437,66,-251,34,-156,704
-460,66,-262,-196,-15,101
-463,46,-277,-183,-51,22
-398,256,-238,310,-192,-245
-463,93,-235,577,-265,-455
-460,40,-200,537,-295,-68
-480,35,-217,77,-174,-154
-479,34,-201,324,-149,-54
-482,29,-176,152,-79,1
-486,23,-187,36,-11,37
-488,29,-182,5,79,13
-491,19,-198,-164,111,90
