AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-390,-246,-267,199,76,-81
-384,-257,-258,542,15,204
-381,-285,-237,190,187,161
-390,-279,-291,99,78,171
-360,-233,-266,-161,-58,-27
-399,-272,-330,150,-559,301
-1166,-348,-291,-706,-1295,2544
-734,-82,-164,-1863,-1115,4429
-48,116,-1,-354,623,-1545
-11,179,24,-339,618,-1230
-4,172,-47,-396,100,734
-163,-29,-31,1611,537,-144
-2335,-198,-539,916,-2267,-2197
-170,-471,-35,583,742,250
-271,-254,-186,174,319,51
-374,-117,-318,155,-178,-336
-388,-263,-298,229,-177,-177
-350,-261,-248,122,-132,89
-380,-251,-251,26,-102,280
-378,-243,-236,-35,10,277
-386,-218,-250,9,10,143
-388,-214,-258,51,-64,54
-412,-221,-257,54,-91,-4
-431,-231,-264,11,-149,34
-413,-235,-240,-144,-203,280
-428,-213,-235,-211,-240,468
