AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-406,-195,-368,138,-161,323
-580,-240,-490,-56,-693,1649
-381,-71,-76,1341,-2299,3362
-109,-115,-70,-231,-851,-1253
-150,89,-17,260,-1122,-1628
-395,-277,-386,-3145,883,-6345
-165,-125,-270,-377,283,-3011
-408,-508,-249,525,48,799
-1112,-157,-373,-1740,-1656,2264
-34,-112,-480,-1054,1241,1826
-197,-337,-33,-755,146,1292
-122,-471,34,101,1389,-1069
-484,-724,-654,1921,-396,-1838
-967,535,-550,93,2767,392
-391,131,-311,1164,-1103,1900
-444,80,-311,-1081,-83,88
-430,114,-288,-728,25,293
-416,152,-262,-125,-136,424
-425,116,-292,-337,128,-17
