AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-497,105,-140,318,184,-323
-500,145,-97,377,596,-911
-461,-17,-174,706,660,-1183
-432,-74,-221,1139,483,-958
-452,-209,-237,615,562,-1000
-427,-204,-251,568,438,-616
-407,-225,-256,482,346,-437
-391,-278,-288,375,74,-116
-386,-290,-237,-73,93,61
-399,-270,-284,-316,-313,474
-403,-218,-224,-276,-629,774
-790,-458,-373,-645,-1043,2361
-798,96,-153,-1386,-1574,4304
-131,220,51,257,953,-1645
23,58,92,361,65,1185
-203,-59,-48,251,66,-176
-836,585,-316,1023,1053,-4072
11,-325,-238,-1009,804,-1863
-371,-129,-371,-98,-31,-505
-418,-191,-287,575,-157,-187
-390,-208,-260,181,183,-284
-395,-233,-300,-41,287,-529
-357,-234,-288,224,231,-438
-372,-284,-297,565,-179,-177
-359,-277,-269,542,-431,-56
-372,-321,-240,78,-256,393
-390,-284,-256,-279,-228,583
-411,-238,-235,-488,-249,779
-429,-198,-232,-480,-201,927
-455,-113,-252,-451,-204,1050
-463,-57,-226,-619,-420,1011
-477,16,-205,-529,-551,714
-492,71,-145,-787,-322,443
-492,93,-143,-376,-300,572
-458,186,-90,-45,-247,515
-501,86,-145,169,83,-29
-492,135,-130,-35,85,9
-490,130,-141,-61,58,-17
-490,122,-137,70,8,68
-488,132,-139,93,-2,-56
