AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-584,-413,-442,1297,199,603
-967,367,-442,5,-1520,820
52,364,85,-1033,-311,1789
-297,-59,-168,-2288,-446,1794
-1594,-357,2,7417,1875,-4139
-687,-529,-542,786,399,325
-407,-375,-331,-147,-1066,2362
-424,133,-463,-2425,-1780,3463
-157,-110,-183,3019,1578,-2069
-182,326,-7,2866,531,-2371
-1220,-272,-904,756,-5972,664
-703,-275,-478,666,1106,2388
-203,-8,-301,627,-338,-124
192,355,202,-2092,-299,2501
-208,-845,-414,674,158,-503
-1343,309,-755,7346,4466,886
-671,-429,-621,1155,24,2332
-745,463,-285,-3697,-2519,4126
50,-212,-213,880,1017,-2167
-182,-23,-114,3254,693,-1564
-141,249,-249,-6557,4334,-3061
-1068,-71,-462,-936,-1680,-1871
-1477,-105,-897,382,-889,1698
-146,47,-337,-396,-638,-223
119,272,170,-1593,-607,2262
