AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-457,80,-218,198,233,-135
-448,67,-251,-60,507,-444
-425,15,-300,48,464,-141
-425,8,-290,104,199,12
-436,29,-292,297,172,227
-412,59,-296,289,97,-98
-403,41,-294,426,180,-282
-405,62,-307,97,-57,-800
-434,-96,-300,-298,318,-756
-426,-80,-358,-407,-11,-43
-426,-98,-318,4,-257,581
-430,-35,-311,-160,-260,1026
-445,99,-345,-209,-235,734
-413,61,-292,-300,-256,551
-432,155,-272,-341,-198,221
-439,123,-267,20,-276,-137
-436,109,-247,277,-460,211
-458,145,-213,219,-325,32
-458,134,-203,107,-260,-334
-631,86,-259,1342,79,-1112
-620,236,-413,2107,574,-280
-803,66,-381,235,985,-416
-530,-98,-443,-2511,695,-94
-195,-122,-136,-1589,309,1676
-191,-272,-2,-1758,476,1021
-89,-188,92,1130,-202,-265
-100,-73,-67,2600,-60,-1252
-399,-45,-416,2283,-1002,-1321
-528,-103,-387,6,-1385,-1045
-718,0,-232,-2382,-1294,350
-738,101,-324,-3040,-478,632
-416,23,-267,1052,145,565
-486,52,-217,-1053,549,-263
-436,120,-238,0,377,-62
-460,53,-267,66,309,-119
-445,46,-283,-7,118,188
-453,102,-271,26,95,143
-440,84,-288,30,39,-34
-443,75,-269,51,5,94
-444,76,-273,20,-6,-35
-421,113,-241,431,-20,-115
-450,34,-278,-249,174,111
-447,61,-274,84,196,269
