AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-411,-105,-187,-135,971,-1330
-749,-396,-371,97,-683,325
-746,129,-19,-1426,-1190,396
-135,490,84,-4539,-2528,1426
-284,-90,-235,-1962,-2371,984
-240,-548,-380,4287,2993,-1053
-609,-411,-335,210,94,-1628
-769,-498,-227,56,-1455,1939
-459,-38,-732,1495,-2212,4636
-224,447,-280,5769,2465,25
-95,166,-73,4572,1622,-143
-1308,193,-439,1164,2595,65
138,-457,67,560,147,-768
-810,-424,-415,-307,-1445,1995
-622,459,-234,-1868,-1783,403
62,625,29,-7011,-2685,133
-344,47,-437,-4417,-3343,-478
-448,-40,-756,3380,2115,-1441
-237,-470,-145,-1119,511,-1401
-671,-446,-270,1150,-1302,2812
-232,-213,-823,4045,-1030,4425
-194,318,-34,4592,1949,-713
-189,160,-109,5541,927,-83
-1311,-644,32,5722,2101,-384
-528,-590,-429,-259,199,-976
