AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-485,116,42,207,636,-526
-507,85,26,168,1102,-684
-609,43,-94,67,-361,262
-719,60,139,730,-549,198
-453,3,-183,1091,1000,-931
-557,73,-28,-1377,1534,-1363
-424,-84,-171,106,64,-270
-510,-130,-169,0,-231,116
-340,61,-42,-1178,-771,1099
-352,-407,-421,16,-138,442
-564,-71,-143,-680,1750,-371
-670,78,-172,264,-1340,575
-342,57,-60,3184,-191,-1094
-477,-90,-135,315,1230,-1330
-423,71,-156,-1042,42,-237
-619,-94,-253,-128,-1033,749
-413,-45,-26,-605,-990,1205
-188,-267,-348,-1279,-152,552
-377,-130,-80,-400,1461,-551
-578,34,-105,90,36,240
-827,83,201,915,-1036,245
-411,38,-104,-599,281,-93
-651,85,42,-122,-447,-77
