AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-510,-5,-85,-60,980,-848
-545,-83,-147,126,651,-597
-1155,200,168,1749,206,-685
173,36,-44,462,353,1265
-534,103,-100,-1025,-3026,2365
-171,-411,-568,-2915,155,-284
-669,-128,24,-1959,848,-1379
-672,-85,-108,562,-541,1088
-639,-186,-1654,-538,237,463
-809,132,-382,7049,3979,-4160
-352,636,142,482,-2630,3068
-1290,-549,203,-556,1643,-771
-959,-130,-223,369,-2643,1345
-768,133,142,1440,1036,-1344
202,575,503,-2329,-3546,2987
-843,35,-419,-3109,-2831,2771
-530,-57,-429,-1571,1603,-1440
-851,-3,3,-410,-1279,532
-268,-589,-1215,476,2297,-1071
-642,151,-46,4440,3779,-4119
-967,1019,5,-2246,-1670,2596
-983,-83,-80,-1335,2362,-1465
-579,-153,-221,258,-1692,932
-485,-111,-125,1152,-1060,961
