AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-505,94,49,196,611,-534
-511,38,-23,57,840,-596
-506,66,-7,147,1252,-829
-482,-58,-131,45,1218,-693
-438,-52,-206,35,1012,-19
-521,-82,-266,-149,336,443
-1179,-145,187,-445,-1824,2297
-679,-197,-536,634,-2220,-912
-73,74,230,220,-1387,-646
-64,17,-62,-817,-757,-1107
-715,878,-374,209,3167,144
-847,90,-180,-2503,1874,-862
-514,-76,-197,-324,144,182
-490,-70,-195,-18,-555,379
-514,-13,-130,406,-401,155
-381,-41,-117,-72,377,-174
-528,-24,-230,-351,1009,-1035
-597,-155,-303,808,-902,-703
-1151,690,-181,567,-3008,1043
196,260,-654,2447,2521,849
-43,46,196,-1378,1428,1641
-191,-38,105,-1526,314,1141
-1421,157,1495,1426,1935,-1066
-470,-161,-208,133,783,-1759
-717,-22,-136,92,-409,419
-412,60,-243,168,-580,135
-419,30,-198,146,-175,-77
-466,13,-136,200,57,-207
-608,-34,-59,-122,680,-612
-388,-93,-172,-105,1211,-185
-695,-65,-194,-51,-19,1026
-952,-229,72,-25,-1430,1563
-72,-606,443,3351,-2247,-2160
