AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-488,87,115,72,486,-435
-534,16,32,-168,1064,-763
-525,4,-55,-427,1205,-1005
-502,-77,-88,-140,1089,-612
-518,-88,-137,-7,887,-334
-510,-126,-181,134,-35,-20
-503,-119,-151,289,-520,504
-504,-84,-123,60,-476,849
-506,1,-114,-178,-769,1001
-552,-87,-18,921,-1065,1460
-453,256,1,1118,-884,398
-478,162,54,258,308,-262
-523,57,-11,321,128,-133
-491,109,15,0,161,42
-487,119,7,-76,233,-123
-513,129,-42,-815,825,-823
-550,-40,-81,-696,758,-1103
-503,-28,-35,-313,638,-1221
-478,-146,-54,493,886,-528
-516,-87,-191,272,649,-2
-499,-106,-212,195,-209,-57
-505,-126,-174,353,-990,117
-548,-71,-104,264,-1121,-188
-1194,88,-133,-1026,-438,-1095
-757,-145,-88,-2125,753,-837
-188,-125,-80,-1940,-233,129
164,-228,-66,-1228,-1074,573
19,-319,-270,554,215,82
-237,-345,-265,1207,1048,-139
-449,-281,-153,2456,-71,23
-734,-180,-43,2087,-915,714
-783,-5,-51,453,-436,823
-779,464,302,-661,405,1056
-473,-81,-139,-478,1271,-111
-529,-62,-156,-269,1164,-106
-482,-70,-207,14,687,-572
-468,-114,-226,69,234,-518
-469,-147,-224,-15,-359,276
-494,-114,-202,-83,-675,624
-506,-63,-146,-81,-855,879
-508,-8,-120,69,-995,1020
-509,66,-49,229,-1073,935
-501,62,50,927,-857,786
-472,159,51,-85,-100,227
-504,149,64,-181,283,-76
-517,130,31,-279,242,-38
