AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-524,97,103,10,1051,-696
-363,-4,19,-342,701,-206
-499,58,-96,292,1254,-614
-532,-60,-113,-248,912,-761
-628,-70,-273,238,-1068,436
-1399,294,729,1409,-841,995
-863,32,-149,-1434,2148,-380
-416,10,152,1258,-651,1255
42,-587,-714,-749,-1410,339
397,-287,-288,900,3726,-1474
-256,124,-192,-1791,-571,664
-1149,-134,-479,-43,-2200,1259
-1842,-129,528,1051,752,-1306
-614,-77,-261,115,-469,102
-1040,331,617,2312,-56,114
-1265,30,-493,-508,1882,-1096
-83,-45,-267,-542,-2666,1900
803,-523,-525,-1305,-1196,638
108,-35,-112,1703,1474,-1534
-851,41,-199,-1106,-1650,-133
-1265,363,12,320,722,1401
-916,107,155,-1150,2699,-2244
-698,-58,-191,-251,-1805,1107
-836,351,616,3009,-346,344
-979,-57,-115,-236,2013,-552
-12,38,-141,-1145,-1199,1154
282,-279,-44,401,677,-81
326,-138,-209,1698,784,-847
-753,-96,-190,-812,-1868,111
-1355,119,98,4788,-477,2071
-258,62,-530,-478,591,88
