AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-507,107,42,118,174,-100
-486,101,88,222,994,-578
-523,42,-21,116,1116,-618
-708,13,-113,355,-1180,365
-452,-34,174,1918,13,-1030
-546,57,-146,474,2914,-1946
44,33,-17,-19,763,-743
-158,-111,-186,-901,-2036,994
-636,-38,-239,-325,-2336,1734
-961,347,263,-1438,-210,-17
-582,-36,-313,595,144,133
-890,18,320,2568,-1048,405
-589,117,-345,-670,1762,-859
-172,101,-171,-1795,372,-342
-197,-258,-470,-805,-638,20
-460,66,-117,352,-1552,1211
-517,-267,278,-107,-596,253
-546,-93,-315,420,773,-98
-543,-44,-97,-148,-306,253
-518,40,-43,55,-455,360
