AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-467,176,40,-268,70,-240
-497,145,42,190,-55,-144
-498,118,48,-84,-15,-53
-520,104,64,-128,-6,-182
-491,158,62,217,350,-942
-812,230,178,993,1668,-1723
-837,-21,-269,-167,751,-1325
-474,-79,-180,-586,200,-394
-358,-163,-201,-1341,-24,-5
-98,-138,-169,-162,115,165
49,-163,-116,375,575,-75
-51,-187,-133,896,669,-259
-400,-114,-159,400,-1182,414
-976,-30,-110,-202,-2558,1990
-747,14,252,-808,28,822
-543,81,10,360,-268,499
-499,132,42,431,-90,131
-504,125,44,100,47,-98
-513,84,40,-125,201,-184
-512,89,34,-77,181,-16
-502,108,31,-27,-15,-57
-503,116,26,-230,141,-242
-526,82,50,-62,313,-731
-502,-27,-41,-58,45,-379
