AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-113,-246,433,-83,-55,41
-76,-120,461,-381,-515,40
-334,113,857,1657,-1934,2400
-669,-31,841,129,-2752,3995
-744,-175,322,-1018,-3762,4813
-527,-117,138,-2105,-3758,4209
-128,-362,-103,1852,-2468,2689
-320,-595,187,-241,-481,2212
-169,-1408,237,-187,943,-1175
-290,-1180,80,688,2354,-3282
-605,-147,95,835,3944,-4027
-624,-23,95,-905,3570,-4103
-647,-24,195,625,3056,-3672
-629,117,704,1103,4457,-3370
-286,368,1201,1391,1136,-642
-497,372,1372,-437,-1198,2432
-1071,46,784,-44,-4257,5562
-1153,96,137,-2260,-4439,6354
-674,-107,-43,-217,-3281,3853
-488,-124,34,1272,-2664,4193
-467,-773,195,-1076,-388,2334
-378,-1244,423,-943,213,-665
-489,-1097,207,1861,2265,-3462
-513,-417,178,-15,3033,-4147
-581,94,60,-17,3014,-4443
-645,100,118,-1259,3138,-4626
-509,205,592,-139,4088,-3722
-254,240,1204,1830,2051,-1806
-275,331,1303,-804,-637,2525
-641,282,1029,-114,-2667,4606
-834,51,231,-312,-3311,5718
-562,-149,44,473,-3318,4129
-715,-275,112,2097,-2458,4484
