AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-64,-323,407,106,-288,681
18,-346,434,-606,-693,1823
49,-239,480,-1373,-1980,2776
-1,-152,516,-1443,-2350,3274
-35,-122,496,-936,-2313,3313
-91,-125,532,-645,-2260,2884
-299,-122,500,-318,-1113,1741
-302,-122,452,-182,-144,504
-258,-172,451,431,737,-1336
-209,-142,473,640,1288,-2190
-179,-117,515,839,2102,-3209
-90,-88,537,682,2335,-3467
-40,-24,564,961,2801,-3827
13,19,601,1305,2942,-4125
98,-67,610,1587,2678,-4032
153,-170,563,1648,2191,-3229
98,-374,487,863,880,-1479
69,-432,406,-199,-72,4
22,-332,417,-866,-1075,1737
48,-256,476,-820,-1453,2672
9,-137,537,-1434,-1801,3201
3,-115,523,-1079,-2269,3272
6,-85,538,-871,-2520,3434
-221,10,590,-806,-2072,2892
-278,-130,433,85,-807,928
-220,-194,448,514,421,89
