AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-507,248,129,-800,-2,118
-504,203,160,-824,-395,88
-497,205,162,-609,-805,-117
-479,194,152,-542,-817,-143
-446,181,165,-476,-682,-50
-413,171,176,-255,-465,31
-410,174,254,-565,-148,171
-414,122,301,-773,-167,115
-408,101,352,-167,-435,-32
-407,101,377,-452,-533,-113
-366,76,369,-167,-689,-204
-342,78,374,-176,-690,-220
-307,54,393,-344,-594,-149
-276,40,398,-230,-554,-121
-244,20,425,-266,-413,-70
-233,-5,459,-297,-411,-60
-210,-21,487,-271,-433,-108
-187,-37,484,-359,-495,-141
-149,-52,474,-278,-534,-127
-122,-75,475,-237,-502,-91
-89,-95,482,-302,-496,-94
-65,-110,476,-309,-486,-119
-29,-124,468,-110,-443,-93
-7,-132,452,-101,-338,-89
20,-149,455,-50,-246,-82
28,-144,453,-75,-168,-65
40,-152,454,-83,-64,-27
43,-153,454,-8,26,-7
44,-173,464,-19,42,13
40,-174,473,22,35,-12
37,-166,463,61,25,-25
37,-160,449,52,71,14
38,-155,436,112,165,67
29,-152,435,216,265,130
2,-150,446,156,373,122
-12,-134,451,283,439,151
-48,-133,468,70,527,192
-75,-131,473,409,527,204
-109,-113,496,155,528,198
-136,-110,492,207,503,169
-160,-87,498,134,422,181
-179,-94,498,42,352,117
-196,-72,481,220,247,116
-199,-69,464,156,230,105
-210,-53,442,268,232,95
-219,-39,436,191,288,145
-236,-29,431,250,407,163
-259,-21,436,220,461,178
-282,-3,421,349,415,173
-292,23,409,286,478,182
-317,27,380,397,462,178
-336,61,367,421,508,199
-365,80,355,254,613,252
-374,92,342,386,626,238
