AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-74,506,-76,4,-25,3
-80,518,-62,-131,59,-11
-83,516,-38,-266,-20,-24
-77,515,-38,-330,-38,-38
-84,514,-18,-434,-79,-45
-88,507,-2,-487,-96,-57
-86,502,17,-115,-128,-93
-88,521,43,-350,13,-106
-101,523,95,-503,66,-65
-105,518,120,-727,-7,-38
-105,503,171,-958,18,-73
-105,483,199,-973,11,-75
-111,448,250,-1193,35,-91
-114,400,281,-1001,-15,-81
-111,359,339,-1246,-11,-134
-118,318,383,-1212,36,-122
-121,272,427,-840,-41,-37
-117,228,438,-1154,-42,-35
-125,133,453,-949,14,-158
-125,99,466,-1029,-22,-237
-124,40,485,-735,-140,-267
-99,9,480,-780,-201,-265
-88,-37,473,-379,59,-169
-96,-66,473,-561,-41,-127
-79,-88,463,-68,-127,-76
-77,-90,470,-259,-33,-33
-77,-125,467,30,-42,-23
-71,-118,467,-1,-25,-40
-76,-120,477,100,55,-41
-75,-116,479,103,28,-35
-71,-114,465,217,-75,-29
-64,-95,461,344,-87,-26
-59,-77,471,371,-118,10
-53,-52,478,499,-59,42
-41,-24,480,495,-3,85
-46,-5,483,634,9,59
-43,45,491,827,-76,36
-37,89,503,683,-50,106
-34,118,481,949,-116,137
-23,165,463,925,-213,101
-9,227,439,1053,-114,8
-8,260,429,1056,163,-18
-11,322,425,1007,287,-76
-29,352,413,731,237,-60
-45,393,377,611,258,30
-41,385,346,675,141,-14
-53,421,301,426,256,18
-60,428,279,632,159,14
-56,455,244,656,419,90
-72,463,235,468,512,88
-69,464,202,516,334,69
-78,488,178,426,334,51
-75,484,159,249,246,35
-75,485,158,213,208,41
-86,490,158,38,147,33
-85,485,143,17,55,0
-77,488,127,101,-5,-27
-78,493,132,44,60,-3
