AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-506,124,25,46,-12,46
-540,99,36,-165,-134,440
-581,66,41,96,-467,486
-579,99,51,11,-532,98
-631,120,53,452,-576,-378
-566,224,96,183,-646,-799
-477,220,120,-258,-173,-983
-416,129,152,-275,237,-975
-418,73,142,116,168,-912
-393,22,115,226,143,-554
-350,-28,111,288,65,-168
-437,-50,145,24,37,234
-499,-54,147,55,-2,269
-473,-29,145,-118,-11,368
-469,-26,139,-8,-100,360
-495,16,141,-185,-33,334
-451,30,134,-102,-39,470
-455,63,136,-86,-84,583
-476,89,142,-173,153,518
-461,99,154,-307,275,223
-496,141,153,-169,417,-38
-591,142,119,-75,457,-36
-607,128,101,179,359,435
-547,68,64,35,331,249
-550,85,54,50,488,14
-567,60,26,706,66,100
-524,75,17,799,270,-76
-528,98,27,449,323,-186
-519,107,22,-19,148,-54
-511,99,7,7,72,-47
-511,108,4,65,60,-64
-509,105,5,146,-30,-12
