AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-112,215,-462,38,40,0
-113,215,-462,39,25,1
-113,215,-464,32,20,1
-104,223,-475,51,118,28
-99,225,-483,64,239,72
-84,221,-488,106,397,130
-69,226,-501,88,568,184
-22,221,-495,99,775,264
10,216,-495,101,904,317
65,221,-505,-4,1153,379
122,214,-475,-171,1313,406
201,203,-431,-125,1466,491
250,200,-381,-228,1492,513
321,186,-298,-346,1354,545
356,167,-232,-388,1042,472
407,157,-191,-120,675,330
423,153,-173,-225,514,234
455,174,-174,-290,540,225
454,140,-97,-338,442,220
438,118,-98,-7,-79,-56
446,146,-121,248,-217,-145
443,159,-135,77,-443,-293
431,170,-170,226,-590,-361
416,198,-211,271,-557,-319
412,201,-247,295,-430,-226
393,203,-251,75,-302,-174
370,199,-254,101,-389,-181
316,184,-252,260,-832,-393
266,181,-282,454,-1287,-574
188,219,-393,509,-1667,-630
130,225,-450,69,-1635,-618
31,243,-465,-233,-1473,-597
-39,254,-465,-211,-1354,-603
-145,266,-437,-316,-1378,-670
-216,274,-429,-328,-1235,-677
-292,275,-393,-328,-1094,-644
-327,273,-369,-195,-904,-609
-361,256,-314,-317,-686,-533
-394,260,-287,-303,-549,-445
-395,257,-269,26,-65,-142
-393,255,-262,-11,35,-3
