AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-513,99,2,60,27,9
-512,95,5,87,26,21
-519,100,6,100,38,49
-513,97,34,313,-111,33
-526,105,50,-9,-208,-120
-535,91,92,359,-482,-74
-533,101,104,166,-648,-166
-542,87,147,13,-844,-139
-538,86,188,-42,-1003,-196
-530,71,264,-323,-1231,-269
-509,35,306,-344,-1424,-367
-445,36,353,63,-1602,-452
-415,17,406,-144,-1660,-290
-307,-44,402,406,-1739,-392
-231,2,405,141,-1499,-408
-118,-46,403,-188,-1146,-533
-30,-20,374,54,-862,-695
39,26,378,-388,-244,-317
44,28,420,79,-40,18
7,72,537,-275,-10,586
-6,38,552,7,-230,1058
-21,18,508,261,-302,1387
-18,-27,504,-43,-346,1623
-13,-92,466,313,-350,1482
1,-84,460,213,-193,1580
2,-96,477,-271,-130,1530
-1,-137,483,112,-216,1468
-1,-87,495,517,44,1090
-12,-79,524,33,-1,1256
-20,-128,530,-52,-229,1346
-12,-172,497,177,-315,1219
17,-175,458,163,-107,665
28,-148,466,44,-27,437
11,-190,449,215,90,116
9,-202,475,301,126,-171
0,-209,505,-176,149,-820
-12,-208,503,-142,144,-1243
-32,-152,494,-294,188,-1716
-33,-128,480,-436,271,-1852
-51,-88,480,75,326,-1920
-36,-57,470,243,322,-1890
-35,4,504,-233,377,-1827
-31,-5,519,-386,398,-1648
-14,11,519,21,217,-1228
6,45,515,-210,158,-905
13,10,483,282,82,-399
37,45,433,102,191,-111
11,-20,382,236,627,279
-19,-37,409,78,916,197
-112,-27,409,52,1282,271
-183,-37,436,-103,1360,354
-300,-43,439,239,1463,402
-340,-24,410,148,1498,380
-430,-12,360,-25,1488,333
-470,-13,279,126,1507,483
-531,26,278,-156,1497,339
-524,-13,241,-328,1322,296
-532,11,180,543,1027,157
-560,30,174,251,911,66
-544,51,94,216,318,-93
-528,39,38,590,125,-26
-512,42,25,126,41,-5
