AccX,AccY,AccZ,GyroX,GyroY,GyroZ
144,-479,6,-71,172,-544
51,-505,-9,233,-639,18
83,-767,-98,1154,-1609,1023
247,-934,-142,1452,-1593,1375
134,-354,-60,1526,-922,2075
259,105,-80,636,745,2236
291,-224,36,5,1569,-725
367,-1088,-6,-1336,2280,-5335
265,-759,8,-270,1551,-5420
-81,-405,37,-465,624,-1504
-241,-497,18,901,-196,918
852,-1682,-325,1730,-931,3839
539,-894,-107,2097,-2033,4360
414,52,-114,1662,-383,3899
294,82,-66,809,693,2825
57,-577,211,-1965,714,-3881
389,-858,81,-2926,1333,-6317
267,-561,55,-2230,792,-4739
72,-567,-22,-542,281,-2131
87,-963,-55,1334,-993,1882
685,-1260,-196,2210,-47,2769
