AccX,AccY,AccZ,GyroX,GyroY,GyroZ
58,-491,162,38,-35,77
25,-574,1,-335,-668,724
32,-576,-113,-53,-1796,1452
192,-487,-186,195,-3697,2443
255,-461,-119,-289,-3826,1843
302,-470,64,-416,-3955,700
335,-488,244,-1058,-3441,442
271,-603,358,-1081,-1780,23
235,-448,504,-3809,1100,-362
103,-873,172,3340,362,-98
217,-860,302,2683,1582,766
219,-663,238,2261,3239,983
226,-433,123,2373,3559,766
46,-216,-8,1518,3851,-299
-167,-186,-144,1055,3720,-1076
-461,-280,-371,-84,1177,-425
-418,-369,-376,-384,-707,-328
-272,-399,-129,591,-2122,10
-131,-345,-23,-120,-2775,402
19,-356,136,-1069,-3305,367
47,-487,209,-2268,-3044,58
96,-576,259,-1471,-2609,135
76,-617,297,-2005,-1971,-135
27,-681,336,-568,-720,-315
-107,-723,153,-1627,-250,12
120,-560,341,1627,836,248
193,-486,385,853,2243,77
290,-528,161,990,3676,-767
368,-530,63,1537,3977,-1377
447,-523,15,1403,4091,-2436
241,-593,-153,911,3535,-2434
-192,-676,-410,-889,1420,-754
-76,-615,-218,151,-2357,528
140,-580,57,602,-2628,978
249,-556,100,334,-2915,1533
324,-509,114,-412,-3116,1868
319,-484,112,-870,-3275,1858
247,-440,206,-737,-2970,1167
187,-448,323,-456,-2211,683
102,-439,361,-682,-676,1
41,-556,281,-778,114,-168
169,-265,187,173,1331,-915
234,-241,84,-1095,1857,-1301
436,-287,-2,-710,2154,-2458
670,-326,-51,-581,2501,-3359
953,-391,-73,-481,2406,-3641
811,-451,-13,541,1933,-3604
446,-453,60,-1291,1403,-1506
231,-541,2,-338,621,242
454,-340,-41,670,-1436,2599
702,-328,-58,880,-2067,2875
900,-443,8,2333,-2410,3529
864,-320,24,2185,-1804,3865
497,-222,57,209,-1585,3412
305,-187,152,-52,-1308,2194
129,-294,225,-555,-446,556
-146,-429,176,-850,-343,-15
69,-443,203,1002,161,-207
55,-486,309,-50,1127,-231
217,-498,387,496,2213,-124
283,-418,275,541,3371,-882
467,-517,24,1394,4168,-2290
521,-493,4,795,3860,-2605
269,-556,-90,-873,2924,-1559
44,-616,-245,-567,1804,-1057
-3,-608,-179,-63,-1308,126
148,-611,7,944,-1852,400
