AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-133,255,249,-731,1186,-1118
-132,95,144,-782,2089,-2782
-124,-93,2,-1207,2803,-3501
-46,-406,-230,-828,3579,-4073
156,-549,-322,-3,3181,-4971
565,-681,-379,-329,1826,-5550
752,-588,-336,-654,1147,-4888
807,-359,-251,-765,741,-3569
692,-212,-185,-350,379,-2700
439,-68,-125,15,302,-1407
376,-49,-129,368,152,-72
456,-98,-173,904,-276,1989
659,-244,-238,1445,-458,3546
795,-527,-263,1755,-437,5344
739,-720,-267,1795,-515,5883
359,-745,-218,2100,-1307,5782
119,-519,-136,2236,-1311,5351
-140,-121,31,1453,-1246,4722
-126,59,110,1133,-1257,3538
-141,248,203,585,-934,2191
-74,336,252,624,-884,1546
1,424,283,47,33,222
-61,396,281,-194,360,-272
-146,367,294,-204,410,-533
-151,363,297,-357,614,-741
-176,287,261,-679,903,-1368
-169,204,213,-728,1273,-2102
