AccX,AccY,AccZ,GyroX,GyroY,GyroZ
330,-352,143,-67,-202,-24
335,-353,136,-79,-280,-46
345,-350,105,-100,-513,-50
345,-353,80,-247,-590,-49
345,-356,9,-359,-690,-60
342,-349,-34,-941,-914,129
346,-372,-83,-1084,-954,80
340,-375,-146,-1106,-886,13
325,-306,-176,-1378,-1034,-7
311,-265,-258,-790,-986,4
255,-234,-370,-366,-532,211
259,-248,-412,300,-32,121
282,-293,-378,939,940,-184
307,-286,-278,1154,1392,-314
334,-319,-134,1710,1572,-256
345,-335,-88,1646,1529,-230
342,-328,23,1212,1215,-202
339,-338,74,851,811,28
362,-348,160,656,315,146
374,-335,138,539,237,10
342,-323,178,153,104,7
347,-321,188,135,38,6
342,-310,200,102,-5,6
